Player Names,Goals,Average Goals Per Match
Gaetan Laborde,11,0.306
Andy Delort,14,0.389
Moussa Dembele,15,0.714
Memphis Depay,10,0.345
Lebo Mothiba,10,0.476
Francois Kamano,10,0.345
Luka Milivojevic,12,0.316
Joshua King,12,0.353
Paul Pogba,13,0.382
Mohamed Salah,22,0.595
Ashley Barnes,12,0.462
Glenn Murray,13,0.433
Richarlison ,14,0.438
Sadio Mane,22,0.629
Callum Wilson,14,0.483
Son Heung-Min,12,0.522
Harry Kane,17,0.630
Sergio Aguero,21,0.677
Eden Hazard,16,0.500
Pierre-Emerick Aubameyang,22,0.733
Gylfi Sigurdsson,13,0.361
Raheem Sterling,17,0.548
Jamie Vardy,18,0.600
Ayoze Perez,12,0.353
Alexandre Lacazette,14,0.519
Raul Jimenez,13,0.361
Lucas Paqueta,10,0.323
Everton ,9,0.375
Juan Cazares,8,0.320
Deyverson ,9,0.818
Pablo ,12,0.400
Leandro Damiao ,10,0.526
Yago Pikachu,10,0.294
Rodrygo ,8,0.267
Andres Rios,7,0.304
Roger Guedes ,9,0.818
Leandro Pereira ,11,0.423
Diego Souza,11,0.344
Pedro ,9,0.474
Nico Lupez,11,0.423
Nene ,8,0.276
Ricardo Oliveira,13,0.371
Gilberto ,8,0.444
Henrique ,9,0.333
Willian ,10,0.476
Gabriel Barbosa,18,0.529
Diego Rossi,17,0.486
Josef Martinez,28,0.875
Zlatan Ibrahimovic,31,1.000
Chris Wondolowski,15,0.625
Nani ,12,0.462
Kacper Przybylko,15,0.600
Kei Kamara,14,0.483
C.J. Sapong,13,0.448
Gyasi Zardes,13,0.464
Heber ,15,0.833
Mauro Manotas,13,0.464
Brian Fernandez,11,0.688
Alejandro Pozuelo,14,0.438
Felipe Gutierrez,12,0.387
Jordan Morris,13,0.464
Raul Ruidiaz,15,0.625
Jozy Altidore,12,0.667
Carlos Vela,36,1.091
Nemanja Nikolic,12,0.480
Alexandru Mitrita,12,0.480
Luis Suarez,16,0.727
Karim Benzema,21,0.583
Joselu,11,0.355
Carlos Fernandez,10,0.476
Ante Budimir,13,0.394
Mikel Oyarzabal,10,0.278
Willian Jose,11,0.458
Gerard Moreno,18,0.545
Lucas Perez,11,0.379
Loren Moron,10,0.476
Raul Garcla,15,0.455
Morata ,12,0.480
Angel Rodriguez,10,1.111
Lionel Messi,25,0.781
Sergio Ramos,11,0.314
Lucas Ocampos,14,0.452
Cazorla ,11,0.379
Roger ,11,0.423
Jaime Mata,11,0.333
Iago Aspas,14,0.378
Pote ,9,1.286
Tiquinho Soares,10,0.500
Eduardo Mancha,2,0.500
Paulinho ,17,0.630
Alex Telles,11,0.393
Bruno Viana,2,0.250
Mehrdad Mohammadi,8,0.296
Carlos Valenzuela,2,0.286
Ruben Lameiras,4,0.571
Moussa Marega,12,0.444
Gian-Luca Waldschmidt,4,0.571
Samuel Lino,3,0.500
Andre Andre,2,0.250
Mehdi Taremi,18,0.692
Carlos Vinicius,18,0.947
Sergio Oliveira,4,0.571
Douglas Tanque,11,0.478
Fabio Abreu,13,0.481
Brayan Riascos,3,0.375
Alex Telles ,2,0.667
Fabio Martins,12,0.414
Haris  Seferovic,6,3.000
Douglas Tanque,2,0.286
Joao Teixeira,8,0.571
Bruno Fernandes,8,0.471
Angel Gomes,3,0.500
Toni MartÃ­nez,10,0.370
Pizzi ,18,0.545
Bozhidar Kraev,8,0.286
Sandro Lima,10,0.345
Rodrigo Pinho,9,0.500
Rodrigo Pinho,6,0.857
Thiago Santana,6,0.750
Everton ,2,0.250
Trincao ,8,0.471
